Date,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,EBITDA_Margin,Expense_Ratio,Effective_Tax_Rate,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Gross_Profit_Growth_QoQ
2024-09-30,4994400000.0,175100000.0,4994400000.0,4819300000.0,25000000.0,21249704.0,168.76,3586100000.0,1208200000.0,604800000.0,4214510000.0,3094600000.0,1445500000.0,7309110000.0,9017590000.0,16326700000.0,16326700000.0,ABBOTINDIA.BO,Healthcare,0.44767834283719304,0.25813605933838435,0.21964634616915849,0.30590382624780266,0.1895422834988087,0.2520075923492481,0.0481892129608823,0.0932898387244292,0.027642882249560685
2024-12-31,5078400000.0,179900000.0,5078400000.0,4898500000.0,22600000.0,21249853.0,169.78,3607800000.0,1268100000.0,717500000.0,4181000000.0,3034800000.0,1508100000.0,7215800000.0,8927000000.0,16142800000.0,16142800000.0,ABBOTINDIA.BO,Healthcare,0.4469980424709468,0.25900091681740467,0.22349282652327973,0.31459226404341256,0.18799712565354212,0.2600750630652803,-0.011263758138509328,0.006051141909037661,-0.01276626018762883
2025-03-31,5045600000.0,179300000.0,5045600000.0,4866300000.0,39200000.0,21249890.0,170.975,3670400000.0,1156700000.0,-1980500000.0,4324600000.0,2997300000.0,-2020900000.0,7321900000.0,8702200000.0,16024100000.0,16024100000.0,ABBOTINDIA.BO,Healthcare,0.45693049843672967,0.26988099175616725,0.22905498592744677,0.3148757184490861,0.18704950668056242,0.23962627664643368,-0.007353123373888049,0.017351294417650598,0.014703844341583672
2025-06-30,5184300000.0,194800000.0,5184300000.0,4989500000.0,58200000.0,21249927.0,172.17,3658600000.0,1272700000.0,728400000.0,4261100000.0,3701200000.0,1826300000.0,7962300000.0,9421200000.0,17383500000.0,17383500000.0,ABBOTINDIA.BO,Healthcare,0.45803779446026405,0.24512324905801477,0.21046394569563093,0.2982310811976875,0.21291454540224927,0.2580861030559893,0.08483471770645457,-0.0032149084568439124,0.08746363648779698
2024-06-30,7517400000.0,2345400000.0,7517400000.0,5172000000.0,331400000.0,187441376.0,19.19,3597000000.0,1243200000.0,717200000.0,4445400000.0,29176500000.0,15196900000.0,33621900000.0,17508600000.0,51130500000.0,51130500000.0,ACC.NS,Materials,0.6575703347317159,0.08694223604306626,0.07034940006454074,0.14702379206148972,0.5706280986886496,0.25684889054171317,0.0,0.0,0.0
2024-09-30,5946000000.0,2423000000.0,5596000000.0,3173000000.0,332600000.0,189790875.0,10.52,1996600000.0,843400000.0,1585900000.0,1940500000.0,26281100000.0,12730200000.0,28221600000.0,17913600000.0,46135200000.0,46135200000.0,ACC.NS,Materials,0.6117151329136972,0.04206115937505419,0.04327715063552342,0.12888206835561566,0.569653973538643,0.2969718309859155,-0.09769706926394228,-0.44492632749513483,-0.16061852542539234
2024-12-31,17642800000.0,2595900000.0,17642800000.0,15046900000.0,281900000.0,188294239.0,57.98,10917300000.0,3847100000.0,6482400000.0,8561300000.0,21573400000.0,13928700000.0,30134700000.0,21938200000.0,52072900000.0,52072900000.0,ACC.NS,Materials,0.5787021656178165,0.1644098945900843,0.2096541579209147,0.3388096303451507,0.41429227102773225,0.26056595594809134,0.12870216234025222,4.467945507362517,0.06778850242367551
2025-03-31,9355700000.0,2648800000.0,11606900000.0,8958100000.0,136300000.0,188274501.5,38.959999999999994,7510300000.0,1311400000.0,-8560500000.0,5653300000.0,-17496100000.0,-34686200000.0,-11842800000.0,70590000000.0,58747200000.0,58747200000.0,ACC.NS,Materials,-0.20158918212272245,0.09623096930577117,0.12784098646403574,0.15925354740311026,-0.2978201514284936,0.14865615470940974,0.12817223546220768,-0.31207349802606876,-1.39299545042758
2025-06-30,8479800000.0,2545800000.0,8479800000.0,5934000000.0,304500000.0,188254764.0,19.94,3753800000.0,1875300000.0,683500000.0,5234300000.0,30514400000.0,14983800000.0,35748700000.0,24612400000.0,60361100000.0,60361100000.0,ACC.NS,Materials,0.5922473248499448,0.08671644486266818,0.06218905884750278,0.1404845173464367,0.5055308799872765,0.3331438418219609,0.027471947599204682,-0.5001797531390224,-4.018602019792617
2024-06-30,17621000000.0,4978500000.0,2560800000.0,-2417700000.0,8109300000.0,1114912043.0,-7.39,-8239200000.0,1365700000.0,-4822300000.0,17464800000.0,12247700000.0,4507500000.0,29712500000.0,24073000000.0,53785500000.0,53785500000.0,ADANIENSOL.NS,Utilities,0.5524258396779801,0.3247120506456201,-0.1531862676743732,0.32761617908172275,0.22771378903236003,-0.19869062340874372,0.0,0.0,0.0
